Title;Artist;Streams
Ostatnia nocka ale to DRILL;młody klakson, Maciej Maleńczuk, Sentino, Yugopolis;31,979
Mam Na Twarzy Krew I Tym Razem Nie Jest Sztuczna;Chivas, White 2115;31,905
Cały hajs;Kabe, Opiat, Danzel;31,811
Sam;Waima;31,727
River - Eurovision 2022 - Poland;Ochman;31,631
Love Of My Life;Harry Styles;31,505
Music For a Sushi Restaurant;Harry Styles;31,500
Daylight;Harry Styles;31,219
Zero Calorie Cookie;Marie;31,217
Drobna zabawa;Magiera, Sobel;31,192
Fiołkowe Pole;Sobel, Piotrek Lewandowski;31,104
ŻYCIA SCHEMAT;Gruby AK47, Zeju POG, Japczan;30,328
Amerykańskie Teledyski;Oki, Young Igi, Otsochodzi, OIO, Kubi Producent;30,321
Cold Heart - PNAU Remix;Elton John, Dua Lipa;30,090
Oh oh (lalala);White 2115, Mata;29,784
NA FORACH;Rusina, Young Igi;29,559
Man On The Moon;Alan Walker, Benjamin Ingrosso;29,517
Never Ending Story;Daria, Kush Kush;29,486
No to cyk;Diho, pieruun;29,443
Ciepłe dranie;Kuki;29,441
BUBBLETEA;Quebonafide, Duit, Daria Zawiałow;29,376
Testarossa;Wiatr, Sobel, be vis;29,053
Pepas;Farruko;28,995
Impreza;Sobel;28,955
Pan I Mistrz;Blaga;28,941
Jungle Girl;Young Leosia, Żabson;28,764
Stefania (Kalush Orchestra);KALUSH;28,682
Jestem Bogiem;Paktofonika;28,618
Szyby (feat. Alberto, Bibic & Josef Bratan);Diho, Bibič;28,536
Las połówek;Białas, Lanek;28,481
kolońska i szlugi;sanah;28,409
THC;Young Igi, Włodi;28,342
GIGACHAD;MASNY BEN, mgng, MRGH.;28,141
100 dni do matury;Mata, Smoothboi Ezra, Sarcastic Sounds;27,933
House of Memories;Panic! At The Disco;27,846
Daddy Issues;The Neighbourhood;27,758
Rio;Sentino;27,737
How Long - From"Euphoria" An HBO Original Series;Tove Lo;27,726
Broly;White 2115;27,521
Prawy do Lewego;Mata;27,414
TRYB SAMOLOTOWY;Jan-Rapowanie;27,370
Oczy;sanah;27,199
Billy Kid;Reto, Kubi Producent;27,151
Czesława;sanah, Natalia Grosiak;27,098
BELWEDER (omamale);mgng, MASNY BEN;26,881
Worki W Tłum;Oki, Young Igi, Otsochodzi, OIO;26,837
Ground Zero;PRO8L3M;26,823
CHŁOPAK NATSU;Godface Killa;26,779
STAY (with Justin Bieber);The Kid LAROI;26,668
kokaina nie pomaga ci w depresji;Kukon, Julia Mikuła, Ka-Meal;26,639
Satellite;Harry Styles;26,488
SIRI;Oki, Gedz, Magiera;26,487
Król balu;Kizo;26,449
Córka mi zmarła;Kuki;26,445
HARD FLEX DRIVE;Kukon, PRO8L3M;26,276
Nasze lato;Kizo, Wac Toja, BeMelo;25,999
Eldorado;Deemz, Bedoes, PlanBe;25,983
VOGUE;Bedoes, Lanek;25,700
YO MAMALE;FRIZ, MASNY BEN, mgng, Ekipa;25,695
Grapejuice;Harry Styles;25,685
Woman;Doja Cat;25,631
Shivers;Ed Sheeran;25,485
abcdefu;GAYLE;25,206
Święto ogródka;Białas, White 2115;25,167
3 Telefony;Malik Montana;25,061
Miniówa;Kukon;24,987
Bad Habits;Ed Sheeran;24,982
Daydreaming;Harry Styles;24,947
Mogę Dziś Umierać;White 2115;24,882
Dom;Szpaku, PSR;24,829
Szklanki;Young Leosia;24,793
Przypadkiem;Oki, Young Igi, Otsochodzi, OIO, Michał Anioł;24,721
AMG;Avi, Louis Villain;24,629
Won't Forget You - Edit;Shouse;24,597
HANA MONTANA - Vayto & Dj Daxshadow Remix;GACEK, ESTE;24,397
Cinema;Harry Styles;24,385
Surfer;be vis;24,158
2001;Mata, Maurycy Żółtański;24,114
HANA MONTANA;GACEK, ESTE;24,084
Policeman (feat. Jambojet, USPM);Jamal;23,969
Crazy What Love Can Do;David Guetta, Becky Hill, Ella Henderson;23,966
Queen;Jacuś;23,928
