Title;Artist;Streams
Where Did You Go? (feat. MNEK);Jax Jones;877,292
Someone You Loved;Lewis Capaldi;872,375
Counting Stars;OneRepublic;871,982
DÁKITI;Bad Bunny, Jhay Cortez;866,307
Bones;Imagine Dragons;865,304
Rich Spirit;Kendrick Lamar;858,261
Shape of You;Ed Sheeran;853,670
Dua Lipa;Jack Harlow;853,005
Butter;BTS;851,243
Pantysito;Alejo, Feid, ROBI;850,554
Blank Space;Taylor Swift;850,204
FEARLESS;LE SSERAFIM;847,755
No Ouvidinho;Felipe Amorim;845,386
After Dark;Mr.Kitty;843,954
Do It To It;ACRAZE, Cherish;843,558
Dynamite;BTS;843,427
Riptide;Vance Joy;840,036
Locked out of Heaven;Bruno Mars;839,113
love nwantiti (ah ah ah);CKay;835,322
LOVE DIVE;IVE;834,458
Smells Like Teen Spirit - Remastered;Nirvana;834,205
PUFFIN ON ZOOTIEZ;Future;831,190
Dark Red;Steve Lacy;830,285
Heather;Conan Gray;827,311
Chale;Eden Muñoz;826,879
Mr. Brightside;The Killers;825,548
Toxic;BoyWithUke;816,395
Unstoppable;Sia;816,050
Todo De Ti;Rauw Alejandro;811,205
Revenge;XXXTENTACION;808,897
Perfect;Ed Sheeran;805,633
Tacones Rojos;Sebastian Yatra;803,592
TUS LÁGRIMAS;Mora, Sech;800,246
Termina Comigo Antes;Gusttavo Lima;797,529
Gangsta's Paradise;Coolio, L.V.;796,009
Adore You;Harry Styles;794,265
Tchuco Nela;MC Rogerinho, Wesley Safadão;792,669
The Nights;Avicii;791,950
One Dance;Drake, WizKid, Kyla;789,427
ZOOM;Jessi;787,828
10 Things I Hate About You;Leah Kate;786,432
happier;Olivia Rodrigo;786,229
Ya No Somos Ni Seremos;Christian Nodal;785,297
Daddy Issues;The Neighbourhood;782,597
Lose Yourself - From "8 Mile" Soundtrack;Eminem;782,014
Night Changes;One Direction;779,898
DANÇARINA;PEDRO SAMPAIO, Mc Pedrinho;778,283
París;Morat, Duki;776,823
ERRO PLANEJADO - Ao Vivo;Luan Santana, Henrique & Juliano;773,901
Señorita;Shawn Mendes, Camila Cabello;772,590
Freaks;Surf Curse;771,647
Every Breath You Take;The Police;769,567
Only Love Can Hurt Like This;Paloma Faith;765,967
San Lucas;Kevin Kaarl;765,867
You Right;Doja Cat, The Weeknd;764,864
Starboy;The Weeknd, Daft Punk;762,982
jealousy, jealousy;Olivia Rodrigo;762,384
Circles;Post Malone;754,208
Cool for the Summer;Demi Lovato;752,669
Levitating;Dua Lipa;747,171
Dance Monkey;Tones And I;742,560
Mon Amour - Remix;zzoilo, Aitana;742,059
Wake Me Up;Avicii;741,106
favorite crime;Olivia Rodrigo;740,100
Paulo Londra: Bzrp Music Sessions, Vol. 23;Bizarrap, Paulo Londra;734,232
Take Me To Church;Hozier;733,925
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis;732,022
Medallo;Blessd, Justin Quiles, Lenny Tavárez;731,061
